report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-08-13,2026-08-12,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",3,0.291577385299,1,,,374068702481,1,2026-08-12
2026-08-13,2026-08-12,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,3,0.231599321588,2,,,143490589722,1,2026-08-12
2026-08-13,2026-08-12,category,Logistics,,Logistics,3,0.103560720734,3,,,366182560910,1,2026-08-12
2026-08-13,2026-08-12,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,3,0.0569892473118,4,,,403619489658,1,2026-08-12
2026-08-13,2026-08-12,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",3,0.00521551947028,5,,,300745184479,1,2026-08-12
2026-08-13,2026-08-12,category,Grain origination and agribusiness,,Grain origination and agribusiness,3,-0.0658527264517,6,,,63125801301.2,1,2026-08-12
2026-08-13,2026-08-12,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",3,-0.0792489625698,7,,,122070417790,1,2026-08-12
2026-08-13,2026-08-12,category,International ethanol,,International ethanol,3,-0.304094998799,8,,,4030007905.26,1,2026-08-12
2026-08-13,2026-08-12,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,12,1.10172662747,1,,,143490589722,1,2026-08-12
2026-08-13,2026-08-12,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",12,1.03507124571,2,,,374068702481,1,2026-08-12
2026-08-13,2026-08-12,category,Grain origination and agribusiness,,Grain origination and agribusiness,12,0.347022590289,3,,,63125801301.2,1,2026-08-12
2026-08-13,2026-08-12,category,Logistics,,Logistics,12,0.307355240471,4,,,366182560910,1,2026-08-12
2026-08-13,2026-08-12,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,12,0.26130749984,5,,,403619489658,1,2026-08-12
2026-08-13,2026-08-12,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",12,0.149410201738,6,,,300745184479,1,2026-08-12
2026-08-13,2026-08-12,category,"Wet milling, ingredients, and co-products",,"Wet milling, ingredients, and co-products",12,0.138485766905,7,,,122070417790,1,2026-08-12
2026-08-13,2026-08-12,category,International ethanol,,International ethanol,12,-0.247303536721,8,,,4030007905.26,1,2026-08-12
2026-08-13,2026-08-12,category,U.S. ethanol and process technology,,U.S. ethanol and process technology,24,1.04022794712,1,,,143490589722,1,2026-08-12
2026-08-13,2026-08-12,category,"Fuel blending, refining, and retail",,"Fuel blending, refining, and retail",24,0.981562745492,2,,,374068702481,1,2026-08-12
2026-08-13,2026-08-12,category,"Crop inputs, equipment, and irrigation",,"Crop inputs, equipment, and irrigation",24,0.523723833841,3,,,300745184479,1,2026-08-12
2026-08-13,2026-08-12,category,Advanced biofuels and SAF,,Advanced biofuels and SAF,24,0.358767019144,4,,,403619489658,1,2026-08-12
